Precinct,Total.Votes,Nancy.McFarlane,Charles.Francis,White.Pct,Black.Pct,NA.Pct,A.PI.Pct,Other.Pct,MR.Pct
01-01,479,0.674321503131524,0.325678496868476,0.78146194423512,0.14619442351168,0.005651846269782,0.025998492840995,0.018462697814619,0.022230595327807
01-02,468,0.794871794871795,0.205128205128205,0.90510295434199,0.053118472097881,0.001790510295434,0.018501939719487,0.006565204416592,0.014920919128618
01-03,630,0.774603174603175,0.225396825396825,0.96216216216216,0.014968814968815,0.002079002079002,0.007484407484408,0.002910602910603,0.01039501039501
01-04,373,0.793565683646113,0.206434316353887,0.96293754289636,0.011667810569664,0.000686341798216,0.004118050789293,0.008236101578586,0.012354152367879
01-05,398,0.781407035175879,0.218592964824121,0.93687943262411,0.053900709219858,0.000709219858156,0.004964539007092,0,0.00354609929078
01-06,579,0.79447322970639,0.20552677029361,0.93184130213632,0.030179721939641,0.002373685995253,0.017293997965412,0.004747371990505,0.013563919972872
01-07,471,0.798301486199575,0.201698513800425,0.79951807228916,0.14650602409639,0.00289156626506,0.025542168674699,0.009156626506024,0.016385542168675
01-07A,64,0.28125,0.71875,0.79951807228916,0.14650602409639,0.00289156626506,0.025542168674699,0.009156626506024,0.016385542168675
01-09,437,0.85812356979405,0.14187643020595,0.94978783592645,0.013437057991513,0.002828854314003,0.012022630834512,0.006364922206506,0.015558698727016
01-10,513,0.861598440545809,0.138401559454191,0.97313933967543,0.011751538891998,0.001678791270285,0.005036373810856,0,0.008393956351427
01-11,668,0.773952095808383,0.226047904191617,0.97790927021696,0.005917159763314,0,0.007495069033531,0.000394477317554,0.008284023668639
01-12,420,0.783333333333333,0.216666666666667,0.78453285650425,0.1452838623156,0.00268216361198,0.007599463567278,0.046490835940992,0.013410818059902
01-13,513,0.736842105263158,0.263157894736842,0.65966796875,0.28125,0.00439453125,0.01025390625,0.0283203125,0.01611328125
01-14,995,0.786934673366834,0.213065326633166,0.73221247563353,0.21320662768031,0.003654970760234,0.012914230019493,0.016569200779727,0.021442495126706
01-15,403,0.761786600496278,0.238213399503722,0.88527397260274,0.068493150684932,0.001141552511416,0.020547945205479,0.010844748858447,0.013698630136986
01-16,715,0.709090909090909,0.290909090909091,0.67300098716683,0.15942744323791,0.008144126357354,0.042694965449161,0.088598223099704,0.028134254689042
01-17,251,0.760956175298805,0.239043824701195,0.95434782608696,0.014492753623188,0.003623188405797,0.015942028985507,0.001449275362319,0.010144927536232
01-18,574,0.677700348432056,0.322299651567944,0.58638059701493,0.20578358208955,0.00634328358209,0.028358208955224,0.14272388059701,0.030410447761194
01-19,324,0.141975308641975,0.858024691358025,0.11079090617996,0.73198847262248,0.002241434518092,0.005443483829651,0.1322446365674,0.017291066282421
01-20,383,0.378590078328982,0.621409921671018,0.19229695785654,0.76053586380128,0.003907340217695,0.004744627407201,0.020373988277979,0.018141222439297
01-21,502,0.581673306772908,0.418326693227092,0.44230492886909,0.33869808880586,0.009484121281793,0.018968242563587,0.16151745940509,0.02902715907458
01-22,676,0.076923076923077,0.923076923076923,0.084076433121019,0.77725204731574,0.004731574158326,0.009099181073703,0.10209281164695,0.022747952684258
01-23,346,0.725433526011561,0.274566473988439,0.71572777596874,0.16484858352328,0.002279387821557,0.081081081081081,0.012129599478997,0.023933572126343
01-25,83,0.373493975903614,0.626506024096386,0.087696335078534,0.84751308900524,0.00130890052356,0.00065445026178,0.021596858638743,0.041230366492147
01-26,334,0.311377245508982,0.688622754491018,0.22657072657073,0.6977886977887,0.007722007722008,0.002983502983503,0.04984204984205,0.015093015093015
01-27,433,0.79445727482679,0.20554272517321,0.56275440976934,0.28392130257802,0.012890094979647,0.009158751696065,0.10820895522388,0.023066485753053
01-28,848,0.484669811320755,0.515330188679245,0.28342342342342,0.63495495495495,0.003243243243243,0.007027027027027,0.044324324324324,0.027027027027027
01-29,708,0.73728813559322,0.26271186440678,0.96445076430857,0.017063633131888,0.000710984713829,0.007109847138287,0.004976892996801,0.005687877710629
01-30,360,0.761111111111111,0.238888888888889,0.93857965451056,0.040307101727447,0,0.010876519513756,0.00127959053103,0.008957133717211
01-31,307,0.534201954397394,0.465798045602606,0.46882887430591,0.25807672892479,0.005931347804139,0.15181726400808,0.079379101463907,0.035966683493185
01-32,347,0.636887608069164,0.363112391930836,0.62079784849843,0.21201255042582,0.007844016136262,0.037203047960556,0.086284177498879,0.035858359480054
01-33,473,0.788583509513742,0.211416490486258,0.75654570509876,0.065227377124483,0.001378043178686,0.16031235645384,0.00367478180983,0.012861736334405
01-34,244,0.229508196721311,0.770491803278688,0.080530401034929,0.8771021992238,0.003880983182406,0.001617076326003,0.01228978007762,0.024579560155239
01-35,357,0.100840336134454,0.899159663865546,0.10124481327801,0.66680497925311,0.009336099585062,0.000829875518672,0.19356846473029,0.028215767634855
01-36,496,0.768145161290323,0.231854838709677,0.84991843393148,0.097879282218597,0.000407830342577,0.015089722675367,0.019168026101142,0.017536704730832
01-37,472,0.777542372881356,0.222457627118644,0.87819171201339,0.079112599413981,0.002092925910423,0.026370866471327,0.007115948095437,0.007115948095437
01-38,377,0.56498673740053,0.435013262599469,0.52899774774775,0.2759009009009,0.006193693693694,0.04954954954955,0.11402027027027,0.025337837837838
01-39,421,0.593824228028504,0.406175771971496,0.62193211488251,0.29007832898172,0.00313315926893,0.01201044386423,0.033681462140992,0.039164490861619
01-40,646,0.11609907120743,0.88390092879257,0.13560918187169,0.70170688640377,0.009888169511477,0.01400824014126,0.11453796350795,0.024249558563861
01-41,407,0.756756756756757,0.243243243243243,0.66295857988166,0.10272189349112,0.006627218934911,0.16497041420118,0.040236686390533,0.022485207100592
01-42,524,0.748091603053435,0.251908396946565,0.85669957686883,0.073624823695346,0.004795486600846,0.038645980253879,0.011847672778561,0.014386459802539
01-43,354,0.706214689265537,0.293785310734463,0.57723577235772,0.26385809312639,0.007144616900715,0.017245627001725,0.096082779009608,0.038433111603843
01-44,522,0.595785440613027,0.404214559386973,0.53435245620062,0.29714874613535,0.004809343868087,0.019237375472346,0.11628306423909,0.028169014084507
01-45,318,0.682389937106918,0.317610062893082,0.58667435823479,0.19296221517162,0.002595904239977,0.082203634265936,0.10297086818575,0.032593019901933
01-46,290,0.272413793103448,0.727586206896552,0.23974082073434,0.47556695464363,0.010934125269978,0.034422246220302,0.19829913606911,0.041036717062635
01-47,474,0.736286919831224,0.263713080168776,0.90140350877193,0.05859649122807,0.002105263157895,0.020701754385965,0.003859649122807,0.013333333333333
01-48,538,0.758364312267658,0.241635687732342,0.72909305064782,0.14988221436985,0.005300353356891,0.041224970553592,0.042697290930506,0.031802120141343
01-49,218,0.536697247706422,0.463302752293578,0.5148790408906,0.29736673089274,0.007707129094412,0.057161207450225,0.088417897666453,0.034467994005566
01-50,518,0.065637065637066,0.934362934362934,0.078869047619048,0.84196428571429,0.006547619047619,0.016666666666667,0.041666666666667,0.014285714285714
01-51,260,0.723076923076923,0.276923076923077,0.815627141878,0.12816997943797,0,0.014393420150788,0.02056202878684,0.021247429746402
02-01,148,0.75,0.25,0.87862273965816,0.060936338865494,0.001238543472876,0.039137973742878,0.003715630418628,0.016348773841962
02-04,35,0.714285714285714,0.285714285714286,0.90738255033557,0.031879194630872,0.001677852348993,0.03489932885906,0.007046979865772,0.017114093959732
02-06,174,0.735632183908046,0.264367816091954,0.90914671577655,0.039901780233272,0.001841620626151,0.032842234499693,0.004297114794352,0.011970534069982
04-05,40,0.75,0.25,0.74622592399792,0.066111400312337,0.00546590317543,0.14601769911504,0.009890681936491,0.02628839146278
05-05,686,0.514577259475219,0.485422740524781,0.63650005771673,0.21020431721113,0.002654969410135,0.10435184116357,0.016160683366039,0.030128131132402
07-01,363,0.746556473829201,0.253443526170799,0.66940378436273,0.20421278114959,0.008568368439843,0.016065690824705,0.077472331310246,0.024277043912888
07-02,301,0.724252491694352,0.275747508305648,0.68679430535101,0.1953853706431,0.010309278350515,0.027491408934708,0.053019145802651,0.027000490918017
07-03,418,0.746411483253589,0.253588516746411,0.88584027437531,0.056834884860363,0.000979911807937,0.019598236158746,0.022048015678589,0.014698677119059
07-04,743,0.681022880215343,0.318977119784657,0.67605633802817,0.23054996646546,0.004527162977867,0.022468142186452,0.037391012743125,0.029007377598927
07-05,352,0.636363636363636,0.363636363636364,0.73907956318253,0.17277691107644,0.005460218408736,0.014820592823713,0.049531981279251,0.018330733229329
07-06,795,0.806289308176101,0.193710691823899,0.87049682128561,0.058158700259006,0.002590063574288,0.030138921591712,0.016953143395338,0.021662349894043
07-07,707,0.780763790664781,0.219236209335219,0.83941068139963,0.094106813996317,0.001104972375691,0.030570902394107,0.013996316758748,0.020810313075506
07-07A,310,0.929032258064516,0.070967741935484,0.83941068139963,0.094106813996317,0.001104972375691,0.030570902394107,0.013996316758748,0.020810313075506
07-09,533,0.712945590994371,0.287054409005628,0.70526088831393,0.11599827511859,0.00646830530401,0.045924967658473,0.10090556274256,0.025442000862441
07-10,465,0.668817204301075,0.331182795698925,0.69341593430341,0.18311482495318,0.004754358161648,0.057628583777554,0.038611151130961,0.022475147673246
07-11,346,0.780346820809249,0.219653179190751,0.92952231793265,0.032889584964761,0,0.025058731401723,0.000783085356304,0.011746280344558
07-12,478,0.742677824267782,0.257322175732218,0.70346143363314,0.18043063505042,0.001362769146907,0.019896429544835,0.070046334150995,0.024802398473699
07-13,426,0.678403755868545,0.321596244131455,0.71938361719384,0.19829683698297,0.004866180048662,0.031224655312247,0.029602595296026,0.016626115166261
08-02,442,0.742081447963801,0.257918552036199,0.79219120598431,0.12625433315088,0.003648969166211,0.038861521620142,0.017879948914432,0.021164021164021
08-03,479,0.551148225469729,0.448851774530271,0.75785319652723,0.12849250197316,0.002209944751381,0.070560378847672,0.015153906866614,0.025730071033938
08-05,122,0.672131147540984,0.327868852459016,0.88049605411499,0.063509958662157,0.001878992859827,0.029688087185269,0.008643367155205,0.015783540022548
08-06,235,0.548936170212766,0.451063829787234,0.62179487179487,0.28010033444816,0.006967670011148,0.021460423634337,0.03901895206243,0.030657748049052
08-07,11,0.363636363636364,0.636363636363636,0.88481174218251,0.040523292916401,0.000957243139758,0.04594767070836,0.005424377791959,0.022335673261008
08-08,331,0.688821752265861,0.311178247734139,0.87738693467337,0.058291457286432,0.00251256281407,0.03500837520938,0.005527638190955,0.021273031825796
08-09,302,0.675496688741722,0.324503311258278,0.73465829846583,0.17433751743375,0.001743375174338,0.02649930264993,0.04323570432357,0.01952580195258
08-10,298,0.610738255033557,0.389261744966443,0.7311799252536,0.16097170315003,0.004004271222638,0.064602242391885,0.016817939135077,0.02242391884677
08-11,501,0.614770459081836,0.385229540918164,0.68834042553191,0.11897872340426,0.003404255319149,0.14995744680851,0.01736170212766,0.021957446808511
11-01,524,0.725190839694657,0.274809160305344,0.73531626506024,0.17243975903614,0.002823795180723,0.046121987951807,0.017319277108434,0.025978915662651
11-02,818,0.767726161369193,0.232273838630807,0.83667502088555,0.093149540517962,0.002923976608187,0.034461152882206,0.017126148705096,0.015664160401003
13-01,401,0.209476309226933,0.790523690773067,0.32247701340423,0.44743547136369,0.009748532181234,0.040434252797164,0.14024592888003,0.039658801373657
13-02,301,0.664451827242525,0.335548172757475,0.83945435466946,0.091990206365862,0.003497726477789,0.033927946834558,0.010143406785589,0.020986358866737
13-05,176,0.420454545454545,0.579545454545455,0.4582301980198,0.39108910891089,0.006806930693069,0.029084158415842,0.080445544554455,0.034344059405941
13-06,470,0.672340425531915,0.327659574468085,0.75005928385108,0.16623191842542,0.002608489447475,0.044818591415698,0.010671093194214,0.025610623666113
13-07,309,0.362459546925566,0.637540453074434,0.4969262295082,0.32581967213115,0.005464480874317,0.079918032786885,0.057718579234973,0.034153005464481
13-08,323,0.235294117647059,0.764705882352941,0.34718526100307,0.45793244626407,0.008393039918117,0.036438075742068,0.10562947799386,0.044421699078813
13-09,583,0.300171526586621,0.699828473413379,0.40400119438638,0.43415945058226,0.006270528515975,0.092266348163631,0.030606151089878,0.032696327261869
13-10,889,0.642294713160855,0.357705286839145,0.83262520921849,0.093601132998584,0.002188747264066,0.036307454615682,0.008754989056264,0.026522466846916
13-11,552,0.563405797101449,0.436594202898551,0.85620455078583,0.083040112596763,0.001642036124795,0.029791226835562,0.007975604034717,0.021346469622332
16-02,266,0.078947368421053,0.921052631578947,0.31219455434024,0.53071910635327,0.004887130556202,0.011403304631138,0.11030951826856,0.030486385850593
16-10,597,0.122278056951424,0.877721943048576,0.14667393675027,0.68102508178844,0.005997818974918,0.024173027989822,0.11286804798255,0.029262086513995
16-11,262,0.106870229007634,0.893129770992366,0.14667393675027,0.68102508178844,0.005997818974918,0.024173027989822,0.11286804798255,0.029262086513995
17-01,314,0.328025477707006,0.671974522292994,0.39549776829032,0.37589753541626,0.006986221618475,0.051232291868814,0.14418785173685,0.02619833106928
17-03,859,0.384167636786962,0.615832363213039,0.55191798941799,0.33531746031746,0.002425044091711,0.058641975308642,0.021384479717813,0.030313051146384
17-04,100,0.27,0.73,0.54966887417219,0.30582781456954,0.007549668874172,0.016688741721854,0.088079470198675,0.032185430463576
17-05,594,0.37037037037037,0.62962962962963,0.43966507962568,0.41339681497291,0.005910359546872,0.052864882613692,0.057461828927926,0.030701034312921
17-07,578,0.147058823529412,0.852941176470588,0.26759649691859,0.53211157963023,0.008595523840415,0.036976970483295,0.12066169315602,0.034057735971456
17-09,567,0.114638447971781,0.885361552028219,0.14667393675027,0.68102508178844,0.005997818974918,0.024173027989822,0.11286804798255,0.029262086513995
17-10,197,0.375634517766497,0.624365482233503,0.49223257878384,0.34354194407457,0.010208610741234,0.050155348424323,0.077674212161562,0.02618730581447
17-11,527,0.292220113851992,0.707779886148008,0.36935687263556,0.3655737704918,0.009331651954603,0.07452711223203,0.14388398486759,0.037326607818411
18-01,357,0.596638655462185,0.403361344537815,0.71784090909091,0.18909090909091,0.005,0.049090909090909,0.016363636363636,0.022613636363636
18-04,0,0,0,0.77957461768325,0.10089646686588,0.007734223940939,0.029882228862718,0.062049569344349,0.019862893302865
18-06,274,0.613138686131387,0.386861313868613,0.69287729196051,0.15973201692525,0.005112834978843,0.095909732016925,0.01657263751763,0.029795486600846
19-04,159,0.364779874213836,0.635220125786163,0.74917045594199,0.16738355659334,0.004301339560034,0.042767604768342,0.013272704928106,0.023104338208185
19-13,220,0.604545454545455,0.395454545454545,0.71784090909091,0.18909090909091,0.005,0.049090909090909,0.016363636363636,0.022613636363636
19-14,293,0.549488054607509,0.450511945392491,0.71784090909091,0.18909090909091,0.005,0.049090909090909,0.016363636363636,0.022613636363636
19-15,207,0.584541062801932,0.415458937198068,0.71784090909091,0.18909090909091,0.005,0.049090909090909,0.016363636363636,0.022613636363636
19-16,147,0.26530612244898,0.73469387755102,0.64489034064396,0.26364909006066,0.00886607559496,0.023798413439104,0.036630891273915,0.022165188987401
19-17,664,0.329819277108434,0.670180722891566,0.57208377923865,0.32900168170005,0.004892218315242,0.029047546246751,0.033786882739642,0.03118789175967
